Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Feiertag,Ferien
2013-11-10,1,108.561660295105,NA,2,6.9875,12,63,NA,NA
2013-11-11,1,124.580485617569,NA,2,8.3125,5,NA,NA,NA
2013-11-12,1,111.970870543294,NA,7,5.9375,9,61,NA,NA
2013-11-13,1,78.0382483442215,NA,1,8.8,12,0,NA,NA
2013-11-14,1,121.180219705286,NA,5,6.9375,9,21,NA,NA
2013-11-15,1,122.76929773359,NA,7,6.45,6,21,NA,NA
2013-11-16,1,126.793397398979,NA,8,8.875,12,NA,NA,NA
2013-11-17,1,74.3945185864517,NA,2,8.8875,8,0,NA,NA
2013-11-18,1,129.109032642028,NA,7,6.65,5,63,NA,NA
2013-11-19,1,106.906118646237,NA,8,5.8375,8,61,NA,NA
2013-11-20,1,124.324612351715,NA,6,3.85,6,NA,NA,NA
2013-11-21,1,144.359927455555,NA,2,3.275,8,10,NA,NA
2013-11-22,1,107.962731413831,NA,7,5.375,10,21,NA,NA
2013-11-23,1,96.5196766761341,NA,3,4.9125,6,NA,NA,NA
2013-11-24,1,76.4120061231823,NA,0,4.6,16,NA,NA,NA
2013-11-25,1,129.81992805086,NA,0,3.7,10,NA,NA,NA
2013-11-26,1,123.431703158233,NA,2,2.3125,6,NA,NA,NA
2013-11-27,1,93.5321454303922,NA,8,7.3125,12,61,NA,NA
2013-11-28,1,128.842426194061,NA,2,8.025,18,NA,NA,NA
2013-11-29,1,104.966463375073,NA,8,5.9875,11,63,NA,NA
2013-11-30,1,104.09003869481,NA,7,5.525,10,20,NA,NA
2013-12-01,1,68.0762231823542,NA,5,8.6625,20,61,NA,NA
2013-12-02,1,113.931498716313,NA,0,3.0625,4,10,NA,NA
2013-12-03,1,94.7658652080226,NA,8,1.7125,6,28,NA,NA
2013-12-04,1,128.922855106228,NA,7,5.85,11,63,NA,NA
2013-12-05,1,120.974699669869,NA,7,4.4625,24,63,NA,NA
2013-12-06,1,112.015650593347,NA,6,1.7875,25,73,NA,NA
2013-12-07,1,121.408564819885,NA,5,1,11,22,NA,NA
2013-12-08,1,36.2650169585334,NA,8,6.975,16,63,NA,NA
2013-12-09,1,134.680550018524,NA,7,9.2375,10,45,NA,NA
2013-12-10,1,104.352034970751,NA,7,7.1875,8,61,NA,NA
2013-12-11,1,85.9079819233536,NA,7,5.025,9,10,NA,NA
2013-12-12,1,88.2075449690532,NA,8,2.525,8,28,NA,NA
2013-12-13,1,85.5324935340658,NA,7,3.5375,6,61,NA,NA
2013-12-14,1,120.787742012371,NA,7,3.0125,7,61,NA,NA
2013-12-15,1,71.5352172710921,NA,8,7.925,12,61,NA,NA
2013-12-16,1,120.791211521354,NA,8,8.775,12,NA,NA,NA
2013-12-17,1,74.6283250889016,NA,8,4.95,8,61,NA,NA
2013-12-18,1,86.4115250991858,NA,7,6.85,8,10,NA,NA
2013-12-19,1,101.589644453608,NA,7,7.4,10,63,NA,NA
2013-12-20,1,114.601001275823,NA,7,5.2875,10,61,NA,NA
2013-12-21,1,124.541759682586,NA,8,6.5625,13,63,NA,NA
2013-12-22,1,41.7300439888931,NA,7,8.1375,12,61,NA,NA
2013-12-23,1,183.608991270752,NA,3,5.4875,10,NA,NA,Weihnachtsferien
2013-12-24,1,220.330670230618,NA,7,11.4375,18,61,NA,Weihnachtsferien
2013-12-27,1,152.367434643543,NA,7,5.7625,15,63,NA,Weihnachtsferien
2013-12-29,1,131.267289010755,NA,7,5.7125,9,63,NA,Weihnachtsferien
2013-12-30,1,126.58984459848,NA,4,4.75,11,10,NA,Weihnachtsferien
2013-12-31,1,211.390838466052,NA,4,5.0375,7,NA,NA,Weihnachtsferien
2014-01-02,1,153.166492227541,NA,7,6.25,9,63,NA,Weihnachtsferien
2014-01-03,1,109.484763536521,NA,7,6.8375,10,63,NA,Weihnachtsferien
2014-01-04,1,116.250540066432,NA,5,6.9375,11,NA,NA,Weihnachtsferien
2014-01-05,1,67.7899909491401,NA,7,6.1875,11,63,NA,Weihnachtsferien
2014-01-06,1,146.911067784297,NA,7,7.9125,11,65,NA,Weihnachtsferien
2014-01-07,1,147.5457609484,NA,7,10.4375,13,NA,NA,NA
2014-01-08,1,99.9068767897401,NA,7,8.6375,15,63,NA,NA
2014-01-09,1,113.541525918277,NA,7,9.6125,16,61,NA,NA
2014-01-10,1,119.05554059635,NA,7,6.6375,17,61,NA,NA
2014-01-11,1,127.95986526115,NA,7,5.5875,18,63,NA,NA
2014-01-12,1,83.4017498521773,NA,2,5.525,16,21,NA,NA
2014-01-13,1,103.994034974792,NA,8,3.1375,10,69,NA,NA
2014-01-14,1,166.347532764571,NA,6,4.225,6,28,NA,NA
2014-01-15,1,139.042567223334,NA,7,3.228571,7,28,NA,NA
2014-01-16,1,117.779119691395,NA,8,2.7375,9,63,NA,NA
2014-01-17,1,94.7938386484339,NA,7,6.7375,4,61,NA,NA
2014-01-18,1,102.633649837911,NA,7,5.8875,8,61,NA,NA
2014-01-19,1,53.0014671833047,NA,7,2.8625,19,10,NA,NA
2014-01-20,1,99.6819363621683,NA,8,0.3875,13,61,NA,NA
2014-01-21,1,116.784600007305,NA,7,-0.65,7,77,NA,NA
2014-01-22,1,102.344424741026,NA,8,-3.1125,14,22,NA,NA
2014-01-23,1,105.740276056438,NA,8,-3.1875,11,22,NA,NA
2014-01-24,1,143.164448746188,NA,2,-5.1625,13,10,NA,NA
2014-01-25,1,129.09233380561,NA,5,-7.0375,8,NA,NA,NA
2014-01-26,1,65.4883238458282,NA,1,-8.475,10,10,NA,NA
2014-01-27,1,177.797639286942,NA,5,0.7,9,69,NA,NA
2014-01-28,1,63.9844736113181,NA,7,-0.2625,10,10,NA,NA
2014-01-29,1,75.1156293987916,NA,7,-5.05,13,77,NA,NA
2014-01-30,1,140.794194214435,NA,7,-4.4875,8,77,NA,NA
2014-01-31,1,133.303478983532,NA,8,-3.6875,7,10,NA,NA
2014-02-01,1,101.932146850505,NA,7,3.225,10,63,NA,NA
2014-02-02,1,76.7574943519772,NA,0,5.4875,8,NA,NA,NA
2014-02-03,1,154.323103655617,NA,1,3.475,8,10,NA,NA
2014-02-04,1,130.284962020954,NA,5,3.925,6,10,NA,NA
2014-02-05,1,128.512982776585,NA,4,3.675,8,10,NA,NA
2014-02-06,1,93.2145715747619,NA,7,7.875,11,20,NA,NA
2014-02-07,1,99.7607356052368,NA,7,8.475,15,63,NA,NA
2014-02-08,1,120.862739831777,NA,7,6.2875,12,61,NA,NA
2014-02-09,1,57.0074894928223,NA,5,6.7125,15,63,NA,NA
2014-02-10,1,154.183743327497,NA,2,6.6375,9,NA,NA,NA
2014-02-11,1,93.605003186262607,NA,7,4.925,12,61,NA,NA
2014-02-12,1,165.738384661521,NA,4,6.1,13,10,NA,NA
2014-02-13,1,112.481302733138,NA,5,7.45,13,NA,NA,NA
2014-02-14,1,127.922310495651,NA,5,5.2125,9,10,NA,NA
2014-02-15,1,169.517528839106,NA,5,11.5,15,NA,NA,NA
2014-02-16,1,66.1488570531461,NA,7,6.0625,17,63,NA,NA
2014-02-17,1,139.563931976797,NA,0,6.6875,9,NA,NA,NA
2014-02-18,1,101.128808084497,NA,7,7.8,8,10,NA,NA
2014-02-19,1,139.712963296062,NA,7,6.325,8,61,NA,NA
2014-02-20,1,115.493305434483,NA,6,9.1,11,10,NA,NA
2014-02-21,1,195.749507104036,NA,7,7.5125,11,61,NA,NA
2014-02-22,1,138.333592943018,NA,7,5.925,11,21,NA,NA
2014-02-23,1,79.4422222430818,NA,1,8.625,12,NA,NA,NA
2014-02-24,1,152.556733984074,NA,1,9.4125,11,NA,NA,NA
2014-02-25,1,115.741936459404,NA,1,10.475,7,NA,NA,NA
2014-02-26,1,95.0173566075507,NA,5,10.1875,8,NA,NA,NA
2014-02-27,1,142.599019478366,NA,1,8.8875,7,10,NA,NA
2014-02-28,1,121.868073185287,NA,7,6.1875,6,61,NA,NA
2014-03-01,1,140.96854447309,NA,2,5.075,9,10,NA,NA
2014-03-02,1,78.304687930775,NA,6,6.5625,9,10,NA,NA
2014-03-03,1,123.816845981151,NA,0,9.1875,10,5,NA,NA
2014-03-04,1,110.664379295042,NA,7,6.6875,7,10,NA,NA
2014-03-05,1,104.010771805795,NA,7,4.6875,7,28,NA,NA
2014-03-06,1,119.64957040592,NA,3,8.925,9,10,NA,NA
2014-03-07,1,115.297355656246,NA,6,11.275,10,5,NA,NA
2014-03-08,1,116.679903321343,NA,0,9.9375,6,NA,NA,NA
2014-03-09,1,92.618539664325,NA,0,16.4,9,NA,NA,NA
2014-03-10,1,150.516891177572,NA,0,15.8,9,NA,NA,NA
2014-03-11,1,151.221168841794,NA,0,7.85,9,NA,NA,NA
2014-03-12,1,91.0474158512995,NA,0,10.2125,8,0,NA,NA
2014-03-13,1,141.400369720196,NA,0,13.375,10,NA,NA,NA
2014-03-14,1,123.912083680615,NA,1,9.6125,10,NA,NA,NA
2014-03-15,1,137.683942432828,NA,4,9.0375,27,NA,NA,NA
2014-03-16,1,67.1675793738149,NA,7,9.3375,24,61,NA,NA
2014-03-17,1,141.547905542998,NA,7,9.5875,18,61,NA,NA
2014-03-18,1,88.2250444509535,NA,7,9.6875,16,21,NA,NA
2014-03-19,1,99.6845823880711,NA,7,9.45,18,61,NA,NA
2014-03-20,1,128.138232106811,NA,0,16.2625,13,NA,NA,NA
2014-03-21,1,104.8547456835,NA,7,6.8875,14,63,NA,NA
2014-03-22,1,130.851901605861,NA,5,8.85,11,63,NA,NA
2014-03-23,1,71.128447822127,NA,4,8.3625,10,NA,NA,NA
2014-03-24,1,174.642338237835,NA,3,7.5625,7,NA,NA,NA
2014-03-25,1,130.828394911681,NA,2,7.725,10,21,NA,NA
2014-03-26,1,164.073709880608,NA,5,7.85,11,21,NA,NA
2014-03-27,1,217.595707302914,NA,6,5.1,12,NA,NA,NA
2014-03-28,1,210.364589078685,NA,8,5.4,12,10,NA,NA
2014-03-29,1,201.442576014825,NA,3,9.375,8,10,NA,NA
2014-03-30,1,77.0718729480323,NA,0,11.2625,8,28,NA,NA
2014-03-31,1,165.782083579859,NA,7,7.4375,4,45,NA,NA
2014-04-01,1,143.934571968464,NA,8,5.7625,13,10,NA,NA
2014-04-02,1,145.793768476637,NA,2,12.45,8,10,NA,NA
2014-04-03,1,199.334213779063,NA,3,7.6125,15,10,NA,NA
2014-04-04,1,149.094869799179,NA,6,6.45,15,0,NA,NA
2014-04-05,1,166.366651532902,NA,8,9.825,5,61,NA,NA
2014-04-06,1,79.4656989548114,NA,7,12.1875,8,63,NA,NA
2014-04-07,1,175.863088463562,NA,7,15.7875,10,63,NA,NA
2014-04-08,1,104.711261779938,NA,7,9.8125,19,61,NA,NA
2014-04-09,1,168.945582350845,NA,7,10.1875,20,21,NA,NA
2014-04-10,1,153.689913112803,NA,7,9.75,4,NA,NA,NA
2014-04-11,1,150.197974521935,NA,6,12.0625,10,NA,NA,NA
2014-04-12,1,230.41912840806,NA,4,11.2,12,0,NA,NA
2014-04-13,1,106.9717520005,NA,6,11.0125,21,NA,NA,NA
2014-04-14,1,126.41212420811,NA,5,8.9,23,61,NA,NA
2014-04-15,1,109.472548649702,NA,0,9.9125,15,NA,NA,NA
2014-04-16,1,110.647041867212,NA,0,11.3625,9,NA,NA,Osterferien
2014-04-17,1,259.250121969818,NA,5,14.4,14,NA,NA,Osterferien
2014-04-19,1,290.428956680919,NA,1,11.125,13,5,NA,Osterferien
2014-04-20,1,57.7509189177541,NA,0,13.875,15,5,Ostersonntag,Osterferien
2014-04-21,1,109.431179378053,NA,4,13.425,15,0,Ostermontag,Osterferien
2014-04-22,1,169.196248011103,NA,3,15.45,10,10,NA,Osterferien
2014-04-23,1,162.980101956576,NA,8,9.825,11,21,NA,Osterferien
2014-04-24,1,155.338780558714,NA,8,9.175,11,NA,NA,Osterferien
2014-04-25,1,103.620395874603,NA,0,13.5625,12,NA,NA,Osterferien
2014-04-26,1,143.988134045973,NA,0,15.45,11,NA,NA,Osterferien
2014-04-27,1,67.5791269771508,NA,0,16.225,16,NA,NA,Osterferien
2014-04-28,1,142.899118015523,NA,0,15.8875,11,NA,NA,Osterferien
2014-04-29,1,145.382373304754,NA,0,18.0875,8,0,NA,Osterferien
2014-04-30,1,168.447583367336,NA,3,18,8,NA,NA,Osterferien
2014-05-02,1,194.877300541007,NA,6,10.225,13,NA,NA,Osterferien
2014-05-05,1,344.712427419033,NA,8,10.7125,6,21,NA,NA
2014-05-06,1,117.634364611904,NA,7,15.775,9,NA,NA,NA
2014-05-07,1,90.0459392081919,NA,4,14.2125,15,65,NA,NA
2014-05-08,1,149.299133313087,NA,7,12.45,10,63,NA,NA
2014-05-09,1,93.4116822522153,NA,6,12.3875,10,61,NA,NA
2014-05-10,1,123.724674602317,NA,7,13.275,12,61,NA,Himmelfahrt/Pfingsten
2014-05-11,1,61.0065824620734,NA,7,11.5625,12,63,NA,NA
2014-05-12,1,117.63724487723,NA,7,12.7,14,63,NA,NA
2014-05-13,1,140.036281903001,NA,7,11.5625,15,21,NA,NA
2014-05-14,1,107.299783874075,NA,7,11.5625,16,NA,NA,NA
2014-05-15,1,123.833393024816,NA,2,13.7875,8,NA,NA,NA
2014-05-16,1,182.247331664509,NA,5,13.8875,9,NA,NA,NA
2014-05-17,1,128.405482365147,NA,0,16.625,8,0,NA,NA
2014-05-18,1,94.9265718873585,NA,4,16.5125,13,NA,NA,NA
2014-05-19,1,108.184039506908,NA,6,13.7625,8,61,NA,NA
2014-05-20,1,112.779561925048,NA,0,20.725,12,NA,NA,NA
2014-05-21,1,123.754439846218,NA,2,26.8625,8,NA,NA,NA
2014-05-22,1,116.368035292474,NA,0,26.375,8,NA,NA,NA
2014-05-23,1,129.753386763715,NA,7,18.0125,12,65,NA,NA
2014-05-24,1,117.223121200496,NA,2,17.9625,8,NA,NA,NA
2014-05-25,1,85.7502216285052,NA,2,20.4625,11,NA,NA,NA
2014-05-26,1,117.265384467109,NA,0,19.9625,13,NA,NA,NA
2014-05-27,1,114.85034360851,NA,7,12.8875,21,21,NA,NA
2014-05-28,1,190.55318445032,NA,7,10.2,22,21,NA,NA
2014-05-29,1,85.879848415963,NA,4,12.7,14,NA,Christi Himmelfahrt,NA
2014-05-30,1,187.239006431102,NA,0,17.9625,13,NA,NA,NA
2014-05-31,1,171.347524831197,NA,3,15.9125,15,NA,NA,NA
2014-06-01,1,93.4027092149433,NA,7,13.825,6,21,NA,NA
2014-06-02,1,199.723160641356,NA,0,17.625,9,NA,NA,NA
2014-06-03,1,142.538025704362,NA,1,20,9,NA,NA,NA
2014-06-04,1,137.397470737802,NA,1,21.4875,14,NA,NA,NA
2014-06-05,1,194.604241155943,NA,5,15.0375,18,65,NA,NA
2014-06-06,1,181.64230467912,NA,3,19.3125,12,NA,NA,NA
2014-06-07,1,199.282826637538,NA,0,17.9625,8,NA,NA,NA
2014-06-08,1,116.13410257794,NA,6,22.1,12,21,Pfingstsonntag,NA
2014-06-09,1,110.83826883308,NA,0,20.6625,10,NA,Pfingstmontag,NA
2014-06-10,1,183.918754774297,NA,1,25.7875,9,NA,NA,NA
2014-06-11,1,149.446544671322,NA,7,20.5,8,61,NA,NA
2014-06-12,1,139.828728810289,NA,4,19.55,12,NA,NA,NA
2014-06-13,1,181.076990157327,NA,7,17.45,18,21,NA,NA
2014-06-14,1,198.692957520375,NA,1,18.9125,13,NA,NA,NA
2014-06-15,1,54.0249702204705,NA,0,19.275,8,NA,NA,NA
2014-06-16,1,162.607017592405,NA,6,18.3125,10,0,NA,NA
2014-06-17,1,124.562218396083,NA,1,20.375,7,NA,NA,NA
2014-06-18,1,137.865777862035,NA,3,19.3,13,NA,NA,NA
2014-06-19,1,129.894799169399,NA,7,15.2875,19,21,NA,NA
2014-06-20,1,175.728748384125,NA,7,15.9875,16,NA,NA,NA
2014-06-21,1,162.410672754329,1,6,15.5125,18,61,NA,NA
2014-06-22,1,99.6276132843513,1,5,15.7,19,NA,NA,NA
2014-06-23,1,130.997404965594,1,4,16.5,17,NA,NA,NA
2014-06-24,1,119.068455962972,1,7,14.3625,7,21,NA,Sommerferien
2014-06-25,1,114.248639971521,1,0,18.4375,10,NA,NA,Sommerferien
2014-06-26,1,139.644833904018,1,6,17.575,8,63,NA,Sommerferien
2014-06-27,1,149.199619823898,1,4,20.1625,7,95,NA,Sommerferien
2014-06-28,1,234.368963456298,1,6,16.9625,6,95,NA,Sommerferien
2014-06-29,1,99.024824945212,1,7,17.3125,8,61,NA,Sommerferien
2014-06-30,1,171.873065791742,NA,3,18.3375,12,NA,NA,Sommerferien
2014-07-01,1,79.4657766414776,NA,6,15.6875,14,61,NA,Sommerferien
2014-07-02,1,130.353573545155,NA,6,17.1125,15,NA,NA,Sommerferien
2014-07-03,1,158.210589058586,NA,7,20.4,9,NA,NA,Sommerferien
2014-07-04,1,112.903849016111,NA,0,26.9375,10,NA,NA,Sommerferien
2014-07-05,1,150.979319145129,NA,6,24.5875,10,65,NA,Sommerferien
2014-07-06,1,84.8042447667398,NA,5,25.2375,6,NA,NA,Sommerferien
2014-07-07,1,142.241358541915,NA,5,20.8,10,NA,NA,Sommerferien
2014-07-08,1,109.606492090567,NA,7,19.6,15,63,NA,Sommerferien
2014-07-09,1,116.752191041734,NA,0,24.65,24,5,NA,Sommerferien
2014-07-10,1,132.724706258412,NA,0,24.757142,18,0,NA,Sommerferien
2014-07-11,1,180.711513583786,NA,1,22.9375,18,NA,NA,Sommerferien
2014-07-12,1,142.331090508761,NA,0,20.375,12,NA,NA,Sommerferien
2014-07-13,1,80.453114083373407,NA,7,18.6,10,61,NA,Sommerferien
2014-07-14,1,153.698550894933,NA,7,19.45,15,63,NA,Sommerferien
